date,year,month,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2021-01-25 12:20:51,2021,1,1.81,1.626,0.946,4.827,1.281,1.678,0.7889999999999999,2.015
2021-01-25 09:47:55,2021,1,10.385000000000002,12.150000000000002,8.404,17.458,6.909999999999999,12.419,1.4689999999999999,15.878
2021-01-25 09:19:22,2021,1,6.67,9.014,3.461,7.894000000000001,8.065,5.899,3.0389999999999997,7.5040000000000004
2021-01-25 07:39:28,2021,1,3.7129999999999996,4.007,1.68,6.465999999999999,5.332000000000001,3.5519999999999996,1.3900000000000001,9.435000000000002
2021-01-25 04:34:05,2021,1,0.922,5.541,1.079,2.427,2.584,0.884,2.07,2.347
2021-01-25 01:08:17,2021,1,2.099,1.97,1.922,3.648,1.6019999999999999,2.0789999999999997,0.914,4.429
2021-01-25 00:40:30,2021,1,0.716,2.134,0.18,1.642,0.0,0.0,0.0,1.694
2021-01-24 15:12:52,2021,1,5.269,3.548,2.477,8.16,5.449999999999999,2.288,2.774,5.905
2021-01-24 12:47:54,2021,1,4.605,3.0540000000000003,1.336,7.682,3.757,6.553,2.7179999999999995,18.586000000000002
2021-01-24 09:14:08,2021,1,1.981,0.927,1.719,4.2669999999999995,1.258,2.771,0.312,2.054
2021-01-24 03:59:58,2021,1,3.368,4.093999999999999,3.383,8.942999999999998,2.092,7.808,0.367,9.757000000000001
2021-01-24 03:22:34,2021,1,3.695,3.5389999999999997,3.094,7.586,0.9349999999999999,3.988,0.359,5.133
2021-01-24 01:01:29,2021,1,20.662000000000003,23.55699999999999,17.326999999999998,48.12,11.842,38.33399999999999,9.546,29.428000000000008
2021-01-23 23:08:20,2021,1,5.8149999999999995,14.117999999999999,5.65,10.721,10.860999999999997,6.866,1.062,15.916
2021-01-23 21:24:32,2021,1,0.833,0.0,0.6719999999999999,1.9330000000000003,0.742,0.782,0.523,1.8199999999999998
2021-01-23 21:08:35,2021,1,12.196000000000002,18.743000000000006,7.564,18.864,32.229,8.367999999999999,11.552999999999999,34.54899999999999
2021-01-23 20:50:09,2021,1,6.301,4.12,3.671,10.135000000000002,3.655,4.285999999999999,4.038,11.338000000000001
2021-01-23 20:45:49,2021,1,9.170000000000002,9.083000000000002,6.288,17.351999999999997,9.567,17.553,2.0469999999999997,18.005000000000003
2021-01-23 17:26:35,2021,1,2.156,4.055999999999999,2.797,4.1690000000000005,2.202,5.794,1.266,10.551000000000002
2021-01-23 13:44:33,2021,1,12.894,12.159,6.492999999999999,20.884999999999994,8.962,11.374,4.664,19.759999999999998
2021-01-23 13:42:14,2021,1,2.438,0.383,2.8840000000000003,6.997,1.171,1.375,0.219,1.421
2021-01-23 12:30:45,2021,1,6.214,8.039,6.874,11.548,9.752,6.905,3.1159999999999997,8.524
2021-01-23 10:31:31,2021,1,2.1919999999999997,3.032,2.117,2.6029999999999998,1.584,1.282,1.1179999999999999,2.961
2021-01-23 07:07:19,2021,1,1.6239999999999999,1.25,0.813,6.7,0.379,4.481,0.0,3.412
2021-01-23 06:31:58,2021,1,18.147000000000002,10.371,10.142000000000001,36.525999999999996,5.613,18.354,4.673,19.498
2021-01-23 05:46:08,2021,1,6.904,9.081000000000001,2.094,8.052,4.336,4.689,4.282,17.589000000000002
2021-01-23 02:18:20,2021,1,0.0,0.7969999999999999,0.8360000000000001,0.609,1.229,0.4,0.219,1.476
2021-01-23 01:24:55,2021,1,9.780000000000001,13.690999999999999,5.3260000000000005,17.638,6.06,11.740000000000002,5.045999999999999,11.533
2021-01-23 01:00:55,2021,1,0.6990000000000001,0.789,3.1479999999999997,1.0859999999999999,0.547,2.624,0.219,2.913
2021-01-22 22:04:15,2021,1,4.973999999999999,9.353000000000002,4.398,8.612000000000002,10.961000000000002,7.034,1.4689999999999999,17.569
2021-01-22 19:08:55,2021,1,4.765,7.010999999999999,3.125,16.263,2.337,6.232000000000001,0.32,9.082
2021-01-22 14:33:33,2021,1,9.791000000000002,3.46,7.65,13.966999999999997,3.0100000000000002,12.473999999999998,0.0,9.483
2021-01-22 12:40:52,2021,1,2.415,4.735,1.259,5.3950000000000005,3.305,2.185,2.711,6.268
2021-01-22 10:46:03,2021,1,19.076,13.378999999999998,15.342,21.428000000000004,12.719,17.543,4.162,18.947999999999997
2021-01-22 09:31:53,2021,1,5.473999999999999,3.5410000000000004,2.734,11.530999999999999,1.4729999999999999,4.598,2.0780000000000003,3.484
2021-01-22 08:38:01,2021,1,2.292,0.927,1.336,4.782,1.8639999999999999,1.9689999999999999,1.5299999999999998,3.618
2021-01-22 04:51:42,2021,1,3.5439999999999996,2.853,1.554,5.964,1.5110000000000001,6.54,0.523,3.56
2021-01-22 04:42:14,2021,1,1.71,1.985,0.907,5.927,5.338,3.091,0.875,6.361000000000001
2021-01-22 03:59:55,2021,1,2.6950000000000003,17.49,2.274,4.299,11.511999999999999,6.6240000000000006,4.667,9.938000000000002
2021-01-22 00:14:23,2021,1,4.827999999999999,5.671999999999999,4.212000000000001,15.129,4.781000000000001,7.898,3.382,12.709999999999999
2021-01-22 00:09:32,2021,1,10.801000000000002,4.5,7.055,9.067,3.345,7.22,3.016,7.6850000000000005
2021-01-21 21:13:25,2021,1,3.425,2.017,1.404,3.2940000000000005,1.217,2.15,2.1719999999999997,5.108
2021-01-21 17:15:10,2021,1,2.755,1.375,4.835,3.3200000000000003,6.218,3.3249999999999997,1.157,6.899
2021-01-21 13:26:33,2021,1,6.608,11.508999999999999,7.941999999999999,11.553999999999998,10.121,8.339,3.1180000000000003,25.917
2021-01-21 13:05:42,2021,1,3.786,7.516000000000001,1.2029999999999998,11.122,5.902,4.134,1.3279999999999998,6.116
2021-01-21 07:46:22,2021,1,10.947,10.675999999999998,6.749,13.548000000000002,5.561,8.373999999999999,2.158,14.922
2021-01-21 03:51:47,2021,1,5.703000000000001,2.219,3.625,8.515,2.298,5.588,0.688,7.352
2021-01-21 03:40:04,2021,1,14.229999999999999,9.924999999999999,11.459999999999997,21.432,10.343,24.854999999999997,5.162999999999999,14.106000000000002
2021-01-21 01:12:39,2021,1,0.667,1.4140000000000001,0.18,0.391,1.262,0.032,0.0,4.202999999999999
2021-01-20 22:11:16,2021,1,6.382999999999999,7.6320000000000014,5.8149999999999995,8.822999999999999,5.347,7.38,2.5,13.396
2021-01-20 12:43:18,2021,1,7.586999999999999,6.569,3.2429999999999994,9.455,3.66,4.4159999999999995,1.389,9.66
2021-01-20 10:37:01,2021,1,4.313,1.774,4.563,4.997999999999999,5.107,4.670999999999999,0.8520000000000001,2.3120000000000003
2021-01-20 10:10:27,2021,1,4.084,3.9540000000000006,1.289,5.403,10.072999999999999,3.212,2.3529999999999998,8.953999999999999
2021-01-20 07:33:44,2021,1,2.4490000000000003,3.3670000000000004,2.351,5.754,3.285,8.373999999999999,0.32,4.07
2021-01-20 07:15:15,2021,1,9.847,5.5249999999999995,8.235999999999999,22.149,7.507,9.03,4.539,18.835
2021-01-20 05:51:51,2021,1,5.311999999999999,13.203999999999999,3.806,11.498999999999999,5.898,5.642,3.5140000000000002,22.346999999999994
2021-01-20 01:05:03,2021,1,1.198,2.398,1.969,4.098,3.094,0.594,0.758,7.103000000000001
2021-01-19 23:28:16,2021,1,2.697,2.637,4.324,5.177,3.533,4.210000000000001,1.978,5.156000000000001
2021-01-19 18:31:07,2021,1,2.7649999999999997,2.352,2.775,1.8539999999999999,3.04,2.89,0.0,4.048
2021-01-19 10:18:05,2021,1,4.3069999999999995,5.825,3.2200000000000006,4.688,1.9449999999999998,3.0559999999999996,0.516,6.484
2021-01-19 06:21:45,2021,1,2.896,3.8270000000000004,5.209,7.652000000000001,5.328,6.0649999999999995,0.375,8.139
2021-01-19 01:05:45,2021,1,5.027,2.34,5.937,6.832,5.5249999999999995,8.625,0.0,6.9510000000000005
2021-01-18 18:16:35,2021,1,9.762999999999998,13.293000000000001,8.411,16.330000000000002,11.909,12.971999999999998,4.727,10.725999999999999
2021-01-18 17:59:27,2021,1,4.654,4.203,0.891,10.312000000000003,4.851000000000001,6.521,2.796,14.085999999999999
2021-01-18 17:00:11,2021,1,6.233,5.603,4.882999999999999,9.004999999999999,4.915,5.461,1.313,10.793999999999999
2021-01-18 15:43:42,2021,1,8.382,10.713,3.14,17.256,15.167,12.779,2.235,17.459
2021-01-18 14:56:37,2021,1,0.574,1.016,1.289,1.7640000000000002,0.547,0.312,0.219,1.4680000000000002
2021-01-18 11:53:53,2021,1,8.539,15.2,4.016,16.933,13.045,10.779,4.483,24.000000000000007
2021-01-18 11:53:03,2021,1,7.7669999999999995,4.678,6.374999999999999,14.459999999999999,3.172,9.385,0.773,6.954
2021-01-18 11:34:19,2021,1,0.152,0.0,0.18,0.234,0.0,0.0,0.0,1.875
2021-01-18 10:13:31,2021,1,15.429999999999998,20.047,13.947,30.281000000000002,16.211,21.741,13.218,26.130000000000006
2021-01-18 06:05:48,2021,1,10.983000000000002,5.148,5.045999999999999,10.908,2.39,8.722999999999999,0.805,14.067
2021-01-18 04:30:04,2021,1,15.782,16.033,9.873999999999999,26.576000000000004,15.478000000000002,20.988000000000003,5.726999999999999,30.962000000000003
2021-01-18 02:30:43,2021,1,1.731,0.609,0.6639999999999999,2.8829999999999996,1.42,3.082,0.914,1.8270000000000002
2021-01-17 23:43:02,2021,1,3.242,12.469,1.087,2.482,9.666,1.593,6.148,7.443
2021-01-17 19:28:09,2021,1,12.226000000000003,23.305,8.145,33.54,15.032999999999998,25.829,4.756,40.532000000000004
2021-01-17 18:38:41,2021,1,5.549,2.9619999999999997,5.845,12.189000000000002,2.021,7.832,1.6800000000000002,9.445
2021-01-17 10:37:47,2021,1,0.152,0.453,0.18,0.812,0.484,0.0,0.461,1.101
2021-01-17 00:42:59,2021,1,19.148999999999997,13.013999999999998,13.541,28.773,12.732999999999999,13.754000000000003,4.774,24.335
2021-01-16 23:58:32,2021,1,22.237000000000002,57.08,14.783999999999999,32.375,63.42099999999999,22.007999999999996,22.943,66.006
2021-01-16 23:56:25,2021,1,1.664,1.923,0.7969999999999999,2.629,1.073,0.8029999999999999,0.976,2.484
2021-01-16 23:16:07,2021,1,4.386000000000001,2.8960000000000004,1.821,6.504,2.227,5.101,1.5859999999999999,2.7209999999999996
2021-01-16 21:38:39,2021,1,2.1260000000000003,4.239,1.742,3.1310000000000002,3.0839999999999996,1.6429999999999998,1.361,4.33
2021-01-16 21:34:02,2021,1,7.106999999999999,12.482999999999999,2.8830000000000005,16.238,4.605,12.995,2.937,5.494
2021-01-16 19:55:47,2021,1,9.525,15.954999999999998,9.315000000000001,15.086000000000002,11.327000000000002,9.799,9.532,22.624000000000002
2021-01-16 17:42:07,2021,1,7.941999999999999,9.460999999999999,6.756,15.673999999999998,8.216999999999999,8.017,1.2189999999999999,12.448999999999998
2021-01-16 14:55:59,2021,1,6.8679999999999986,9.416999999999998,3.353,5.252,6.980999999999999,5.016,2.726,14.337
2021-01-16 14:01:23,2021,1,10.012999999999998,16.067,10.955999999999996,15.239,14.118,16.823999999999998,3.5300000000000002,29.948000000000004
2021-01-16 09:43:48,2021,1,15.161000000000001,17.02,13.233,28.492999999999995,13.658,23.639,5.724,26.236000000000004
2021-01-16 07:00:00,2021,1,3.055,3.4830000000000005,1.5939999999999999,4.239,2.624,4.633,1.539,7.2700000000000005
2021-01-16 06:58:47,2021,1,13.478999999999996,22.409,15.552999999999999,28.688999999999997,49.92900000000001,21.321999999999996,3.899,58.34199999999999
2021-01-16 04:32:05,2021,1,12.046,9.550999999999998,7.773,14.916,11.036,12.998999999999999,3.094,11.693999999999999
2021-01-16 04:30:39,2021,1,6.771000000000001,2.6710000000000003,2.2820000000000005,9.042000000000002,2.9259999999999997,5.819,3.609,8.33
2021-01-16 04:17:20,2021,1,1.083,1.9769999999999999,0.876,1.975,1.621,1.8890000000000002,1.4300000000000002,3.9619999999999997
2021-01-15 22:57:50,2021,1,6.139999999999999,4.735,1.712,10.514999999999999,6.037,3.1939999999999995,1.374,10.331
2021-01-15 22:06:06,2021,1,4.172,7.899,2.923,9.431000000000001,6.495,8.107,2.461,15.974
