문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
217,1.0,0.7504,"[(1, 0.7503816), (3, 0.23744969)]"
218,1.0,0.9755,"[(1, 0.9754636)]"
219,1.0,0.9925,"[(1, 0.99250376)]"
220,1.0,0.7993,"[(1, 0.79926807), (3, 0.17904986)]"
221,1.0,0.9844,"[(1, 0.9843614)]"
222,1.0,0.9872,"[(1, 0.9872089), (4, 0.010190137)]"
223,1.0,0.9816,"[(1, 0.98162085)]"
224,1.0,0.9676,"[(1, 0.96760225)]"
225,1.0,0.9417,"[(0, 0.014438153), (1, 0.94171375), (2, 0.014446947), (3, 0.014798545), (4, 0.01460264)]"
226,1.0,0.995,"[(1, 0.99495643)]"
227,1.0,0.9843,"[(1, 0.98433906)]"
228,1.0,0.9891,"[(1, 0.98906386)]"
229,1.0,0.983,"[(1, 0.9829776)]"
230,1.0,0.9893,"[(1, 0.98932105)]"
231,1.0,0.8926,"[(1, 0.8926052), (3, 0.09214246)]"
232,1.0,0.982,"[(1, 0.9819968)]"
233,1.0,0.9869,"[(1, 0.9868976)]"
234,1.0,0.9496,"[(0, 0.012581958), (1, 0.94958806), (2, 0.012566999), (3, 0.012718445), (4, 0.0125445435)]"
235,1.0,0.9174,"[(1, 0.91740257), (4, 0.06279062)]"
236,1.0,0.8565,"[(1, 0.8564825), (4, 0.13367446)]"
237,1.0,0.9898,"[(1, 0.9897824)]"
238,1.0,0.9838,"[(1, 0.98383445)]"
239,1.0,0.9879,"[(1, 0.9878877)]"
240,1.0,0.9967,"[(1, 0.996684)]"
241,1.0,0.7608,"[(1, 0.7607577), (3, 0.22855736)]"
242,1.0,0.9761,"[(1, 0.97609645)]"
243,1.0,0.9661,"[(1, 0.9661491)]"
244,1.0,0.973,"[(1, 0.9729699)]"
245,1.0,0.9635,"[(1, 0.96348363), (3, 0.029270552)]"
246,1.0,0.9739,"[(1, 0.97393024)]"
247,1.0,0.9806,"[(1, 0.98061645)]"
248,1.0,0.9807,"[(1, 0.98066014)]"
249,1.0,0.7854,"[(1, 0.78539735), (3, 0.13959312), (4, 0.061418585)]"
250,1.0,0.9967,"[(1, 0.9966615)]"
251,1.0,0.9878,"[(1, 0.9878301)]"
252,1.0,0.8871,"[(1, 0.8870975), (3, 0.08514838)]"
253,1.0,0.9662,"[(1, 0.9661811)]"
254,1.0,0.9881,"[(1, 0.9881269)]"
255,1.0,0.9982,"[(1, 0.9982468)]"
